 	Label	Area
139	CT02_CT163_BO.tif	1.389E-5
140	CT02_CT163_BO.tif	0.000
141	CT02_CT163_BO.tif	0.000
142	CT02_CT163_BO.tif	0.000
143	CT02_CT163_BO.tif	1.111E-5
144	CT02_CT163_BO.tif	1.944E-5
145	CT02_CT163_BO.tif	1.458E-5
146	CT02_CT163_BO.tif	0.000
147	CT02_CT163_BO.tif	0.000
148	CT02_CT163_BO.tif	0.000
149	CT02_CT163_BO.tif	1.667E-5
150	CT02_CT163_BO.tif	0.000
151	CT02_CT163_BO.tif	0.000
152	CT02_CT163_BO.tif	0.000
153	CT02_CT163_BO.tif	1.667E-5
154	CT02_CT163_BO.tif	0.000
155	CT02_CT163_BO.tif	0.000
156	CT02_CT163_BO.tif	0.000
157	CT02_CT163_BO.tif	1.181E-5
158	CT02_CT163_BO.tif	9.722E-6
159	CT02_CT163_BO.tif	1.528E-5
160	CT02_CT163_BO.tif	0.000
161	CT02_CT163_BO.tif	0.000
162	CT02_CT163_BO.tif	0.000
163	CT02_CT163_BO.tif	1.181E-5
164	CT02_CT163_BO.tif	1.458E-5
165	CT02_CT163_BO.tif	1.111E-5
166	CT02_CT163_BO.tif	1.736E-5
167	CT02_CT163_BO.tif	1.250E-5
168	CT02_CT163_BO.tif	1.181E-5
169	CT02_CT163_BO.tif	0.000
170	CT02_CT163_BO.tif	0.000
171	CT02_CT163_BO.tif	0.000
172	CT02_CT163_BO.tif	1.806E-5
173	CT02_CT163_BO.tif	1.319E-5
174	CT02_CT163_BO.tif	1.458E-5
175	CT02_CT163_BO.tif	0.000
176	CT02_CT163_BO.tif	0.000
177	CT02_CT163_BO.tif	0.000
178	CT02_CT163_BO.tif	9.722E-6
179	CT02_CT163_BO.tif	1.389E-5
180	CT02_CT163_BO.tif	1.042E-5
181	CT02_CT163_BO.tif	1.181E-5
182	CT02_CT163_BO.tif	1.250E-5
183	CT02_CT163_BO.tif	1.528E-5
184	CT02_CT163_BO.tif	1.458E-5
185	CT02_CT163_BO.tif	0.000
186	CT02_CT163_BO.tif	0.000
187	CT02_CT163_BO.tif	0.000
188	CT02_CT163_BO.tif	1.528E-5
189	CT02_CT163_BO.tif	6.250E-6
190	CT02_CT163_BO.tif	1.111E-5
191	CT02_CT163_BO.tif	9.722E-6
