 	Label	Area	Mean	Min	Max
1	ID117a_L_dated.tif	3.403E-5	145.163	123	166
2	ID117a_L_dated.tif	3.958E-5	139.404	113	160
3	ID117a_L_dated.tif	4.028E-5	126.655	99	152
4	ID117a_L_dated.tif	3.819E-5	125.745	91	148
5	ID117a_L_dated.tif	0.000	NaN	255	0
6	ID117a_L_dated.tif	5.486E-5	140.203	115	163
7	ID117a_L_dated.tif	9.861E-5	132.570	111	147
8	ID117a_L_dated.tif	3.958E-5	131.649	112	156
9	ID117a_L_dated.tif	3.542E-5	127.255	105	151
10	ID117a_L_dated.tif	4.097E-5	128.492	110	147
11	ID117a_L_dated.tif	5.000E-5	113.931	101	132
12	ID117a_L_dated.tif	0.000	NaN	255	0
13	ID117a_L_dated.tif	2.639E-5	142.579	103	168
14	ID117a_L_dated.tif	4.444E-5	137.188	117	156
15	ID117a_L_dated.tif	0.000	NaN	255	0
16	ID117a_L_dated.tif	4.792E-5	114.899	94	131
17	ID117a_L_dated.tif	2.361E-5	114.412	83	136
18	ID117a_L_dated.tif	5.139E-5	122.446	98	144
19	ID117a_L_dated.tif	5.347E-5	141.506	116	164
20	ID117a_L_dated.tif	0.000	NaN	255	0
21	ID117a_L_dated.tif	6.944E-5	126.360	95	146
22	ID117a_L_dated.tif	5.833E-5	135.190	106	152
23	ID117a_L_dated.tif	6.181E-5	130.652	91	153
24	ID117a_L_dated.tif	0.000	NaN	255	0
25	ID117a_L_dated.tif	5.556E-5	106.112	90	124
26	ID117a_L_dated.tif	2.986E-5	102.070	88	115
27	ID117a_L_dated.tif	2.986E-5	127.140	110	147
28	ID117a_L_dated.tif	2.847E-5	122.049	100	144
29	ID117a_L_dated.tif	4.792E-5	118.536	92	142
30	ID117a_L_dated.tif	5.000E-5	97.639	79	122
31	ID117a_L_dated.tif	0.000	NaN	255	0
32	ID117a_L_dated.tif	3.958E-5	129.070	111	144
33	ID117a_L_dated.tif	0.000	NaN	255	0
34	ID117a_L_dated.tif	4.444E-5	121.828	106	147
35	ID117a_L_dated.tif	0.000	NaN	255	0
36	ID117a_L_dated.tif	5.069E-5	134.096	119	156
37	ID117a_L_dated.tif	4.653E-5	135.701	112	159
38	ID117a_L_dated.tif	7.014E-5	128.059	94	144
39	ID117a_L_dated.tif	3.819E-5	128.909	108	159
40	ID117a_L_dated.tif	0.000	NaN	255	0
41	ID117a_L_dated.tif	5.139E-5	106.770	71	130
42	ID117a_L_dated.tif	6.806E-5	131.194	95	167
43	ID117a_L_dated.tif	5.833E-5	126.917	115	141
44	ID117a_L_dated.tif	6.181E-5	118.360	100	136
45	ID117a_L_dated.tif	5.486E-5	132.418	101	155
46	ID117a_L_dated.tif	6.528E-5	126.830	99	146
47	ID117a_L_dated.tif	0.000	NaN	255	0
48	ID117a_L_dated.tif	6.250E-5	137.844	90	166
49	ID117a_L_dated.tif	0.000	NaN	255	0
50	ID117a_L_dated.tif	4.097E-5	121.780	106	142
51	ID117a_L_dated.tif	5.000E-5	117.861	98	133
52	ID117a_L_dated.tif	5.139E-5	134.405	117	151
53	ID117a_L_dated.tif	6.250E-5	145.878	102	172
54	ID117a_L_dated.tif	3.056E-5	114.318	95	133
55	ID117a_L_dated.tif	0.000	NaN	255	0
56	ID117a_L_dated.tif	2.361E-5	122.824	105	160
57	ID117a_L_dated.tif	6.250E-5	150.000	135	165
58	ID117a_L_dated.tif	4.722E-5	156.206	133	180
